bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,wgs84_LNG,wgs84_LAT,gcj02_LNG,gcj02_LAT
12690600,2578400,18,114.00035901469624,22.693822158370086,113.9889271508992,22.690358857698197,113.99391577836124,22.687496148854034
12684200,2579000,5,113.94286746207665,22.698823459474497,113.93140973082492,22.69615919770337,113.93628840828488,22.693156674069108
12734800,2586400,1,114.39741004997535,22.760490976432745,114.38596275910413,22.757150007422798,114.39092029426305,22.75451000703481
12748800,2560200,7,114.52317282133072,22.54202841034137,114.51202191906205,22.539063525261724,114.51666833160198,22.53614968639868
12685400,2564400,3,113.95364712819283,22.577072772390135,113.94218993414974,22.574394487603534,113.94707335304447,22.57138882659773
12676800,2593200,10,113.87639285436023,22.81713360280001,113.86501433451461,22.813808569975933,113.86994113077593,22.81083656038385
12675800,2562800,6,113.86740979926343,22.563723601386236,113.85601880372168,22.56055871192458,113.86094872096106,22.55753937930634
12695200,2571200,75,114.04168106814159,22.633792149568222,114.03008769669368,22.63064148044529,114.03517066139486,22.627885366353297
12673800,2581000,2,113.8494436890698,22.715493128995643,113.8379153195454,22.712574359549752,113.84289947985776,22.70961255035216
12694800,2583000,16,114.03808784610285,22.73216074506883,114.0264872034257,22.728929138893097,114.03156918295143,22.726186562741386
12677600,2566800,40,113.88357929843768,22.597094076214834,113.87222748794187,22.593788439329018,113.87712669473383,22.590752546592405
12669000,2588000,2,113.8063250246051,22.77382079377305,113.7947103801723,22.770858843398003,113.79981089993376,22.767992675747845
12721400,2580600,27,114.27703711167806,22.712159359329963,114.2656866592359,22.708994852920743,114.27051597504953,22.706165179633658
12717800,2580200,38,114.24469811332953,22.70882550753567,114.23340469727498,22.705316845070712,114.23824766990631,22.702480690498895
12676200,2585400,2,113.87100302130214,22.75215917216491,113.8596223021231,22.748911804214877,113.86455621699815,22.745925237161284
12682600,2590200,2,113.92849457392175,22.792147142383957,113.9170913218967,22.789342786719832,113.92196741938889,22.786350551017225
12711400,2562800,32,114.18720656070994,22.563723601386236,114.17568937608146,22.56085338566308,114.18064126643347,22.558066369957707
12695800,2567800,72,114.04707090119967,22.605435417068744,114.03542661604516,22.602359289133105,114.04051798956814,22.599611833891434
12685200,2558400,9,113.95185051717345,22.52700664167254,113.94042520269281,22.524351288761057,113.94530307276547,22.521338606495323
12684200,2570800,12,113.94286746207665,22.63045637043966,113.93143099487818,22.627809925025485,113.93630534810589,22.62479291617209
12671000,2575800,24,113.82429113479873,22.672147719979396,113.81268783782684,22.669414752974692,113.81773660186965,22.66648948335979
